Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3066645,0.7173953,-2.39718,-0.3610305,0.9392001,-2.260815,-0.2777304,1.1763,-2.167792,1
-0.3095161,0.7150801,-2.397116,-0.3664889,0.9351997,-2.259095,-0.2794109,1.170642,-2.165325,1
-0.3099403,0.7135346,-2.397593,-0.3712916,0.9319228,-2.2587,-0.2830612,1.166592,-2.164076,1
-0.3155341,0.7130795,-2.395375,-0.3794011,0.9299427,-2.255233,-0.2909135,1.163999,-2.159337,1
-0.3106843,0.7147959,-2.398716,-0.3816159,0.9305506,-2.260271,-0.2982329,1.165971,-2.163148,1
-0.3145253,0.7152581,-2.406211,-0.3894455,0.9313511,-2.27042,-0.3111997,1.167989,-2.171991,1
-0.3175096,0.7121272,-2.407618,-0.3946675,0.928418,-2.273403,-0.3185941,1.165405,-2.174114,1
-0.3195208,0.7100636,-2.410004,-0.4012961,0.924178,-2.275036,-0.3266994,1.160584,-2.173272,1
-0.3228739,0.7052797,-2.410729,-0.4088613,0.9158505,-2.272835,-0.3303982,1.150239,-2.169326,1
-0.3243745,0.7013937,-2.416962,-0.4174045,0.9078265,-2.277393,-0.337282,1.140978,-2.172374,1
-0.3286943,0.7002974,-2.416384,-0.4256647,0.9048883,-2.276785,-0.3452336,1.137335,-2.170447,1
-0.3266546,0.6997956,-2.418449,-0.4308567,0.901829,-2.280344,-0.3559763,1.134945,-2.171449,1
-0.3329411,0.6927458,-2.4114,-0.4465197,0.889729,-2.273392,-0.369076,1.119952,-2.160219,1
-0.3367847,0.6902518,-2.413636,-0.4548554,0.8844031,-2.275385,-0.3751092,1.113403,-2.161334,1
-0.3367847,0.6902518,-2.413636,-0.4548554,0.8844031,-2.275385,-0.3751092,1.113403,-2.161334,1
-0.3367847,0.6902518,-2.413636,-0.4548554,0.8844031,-2.275385,-0.3751092,1.113403,-2.161334,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3389941,0.6899328,-2.417957,-0.4610719,0.8823568,-2.280776,-0.3823109,1.111199,-2.165727,1
-0.3403345,0.6865268,-2.419755,-0.4676625,0.877859,-2.285859,-0.3931234,1.107772,-2.170134,1
-0.3410074,0.6851875,-2.424883,-0.4744872,0.8741745,-2.293675,-0.4060398,1.104719,-2.17547,1
-0.3395131,0.6794992,-2.425158,-0.4855235,0.8608878,-2.296598,-0.4209835,1.089195,-2.172023,1
