Time,Right_Angle,Left_Angle
6.652801990509033,-90.35998,84.08582
6.670386075973511,-90.94163,84.39832
6.686076879501343,-91.52762,85.97853
6.703819036483765,-91.77144,86.65078
6.720324993133545,92.50995,88.06362
6.737043142318726,94.13989,89.52432
6.753689050674438,94.63794,90.49006
6.770262002944946,96.06882,92.64869
6.786921977996826,97.07477,94.43295
6.802518129348755,97.52032,95.08323
6.820320844650269,98.07455,96.84586
6.836807012557983,99.1965,98.56081
6.853477001190186,100.1282,99.98816
6.870049953460693,100.748,100.4586
6.885725021362305,102.2467,102.3795
6.903427839279175,102.9641,103.8138
6.920041799545288,103.26,104.8629
6.936621904373169,104.2316,106.366
6.953490018844604,105.6418,108.6002
6.970016002655029,107.6503,109.9754
6.985558032989502,108.1876,111.6183
7.003215074539185,109.7078,113.931
7.019904851913452,111.2885,115.5004
7.036452054977417,113.4555,117.2956
7.052096128463745,114.4738,119.2818
7.069804906845093,116.0828,121.4031
7.085860967636108,117.5898,123.5155
7.103039979934692,119.0892,124.7661
7.119738817214966,120.3642,126.7442
7.136284112930298,121.8641,128.4653
7.153045892715454,122.6243,130.9289
7.169618844985962,123.5886,132.5605
7.185232877731323,124.5542,134.1789
7.202836990356445,125.1706,135.7686
7.219628095626831,125.4475,137.3019
7.236142873764038,126.5392,138.4985
7.25316309928894,127.6474,139.0601
7.269396066665649,127.5888,140.2661
7.285108804702759,128.1472,141.5785
7.302705049514771,128.9638,142.093
7.319337129592896,130.3132,142.915
7.334932088851929,131.029,144.2909
7.352847814559937,131.6229,144.7352
7.369205951690674,131.5175,145.2599
7.387570142745972,132.8932,145.0243
7.403213977813721,133.6593,145.3894
7.418345928192139,133.6593,145.3894
7.435746908187866,133.7823,145.0607
7.452419996261597,135.098,145.6756
7.469012975692749,135.4889,147.189
7.484710931777954,135.8504,147.3708
7.502431154251099,136.2608,147.6347
7.517976999282837,136.4513,148.0767
7.535600900650024,136.824,148.1163
7.552588939666748,137.1698,148.6484
7.569000005722046,136.7256,149.0377
7.584501028060913,137.3109,148.8393
7.602760076522827,136.8187,149.0929
7.617795944213867,137.2186,148.9644
7.635680913925171,136.4439,148.5278
7.651188135147095,136.4554,147.8265
7.668905973434448,137.0489,147.9708
7.684374094009399,136.6304,148.0158
7.701964139938354,136.1637,147.803
7.719030141830444,136.5303,146.9149
7.735301971435547,135.7519,147.0557
7.750905990600586,135.8968,146.2408
7.768504858016968,135.0525,146.2183
7.785137891769409,134.5543,145.5621
7.802059888839722,133.7129,144.1467
7.818820953369141,132.1846,143.5651
7.835078954696655,131.1877,143.3079
7.851789951324463,129.9159,143.1987
7.868499994277954,129.9386,141.6706
7.884050130844116,128.7174,140.4033
7.90170693397522,128.2733,138.85
7.91908597946167,127.2292,137.7797
7.93386697769165,126.4857,135.8787
7.952193975448608,125.7013,133.3584
7.968171834945679,124.65,132.1376
7.985065937042236,123.4478,130.4793
8.000530004501343,121.8584,129.0645
8.018204927444458,120.1655,127.3694
8.034724950790405,118.1795,125.9266
8.050351858139038,116.7297,124.1057
8.068065881729126,115.1374,122.6499
8.083690881729126,113.8507,121.3467
8.101284027099609,112.5389,120.2987
8.118476152420044,111.6943,118.506
8.134634971618652,109.6831,116.7897
8.150254011154175,107.8405,114.7971
8.167832136154175,107.2684,112.5467
8.184479951858521,106.4339,110.9545
8.200177907943726,105.4671,109.4345
8.217936992645264,104.8896,107.7696
8.233376979827881,104.4068,106.7197
8.25112509727478,104.2054,105.7701
8.267565011978149,102.7718,103.9695
8.283375024795532,101.9403,102.478
8.300930976867676,101.4548,101.0376
8.317556142807007,100.4183,99.43069
8.334180116653442,100.3235,98.08999
8.350893020629883,99.68253,96.74167
8.367542028427124,99.34329,96.29763
8.384155988693237,98.98853,95.47926
8.400787115097046,98.42593,94.10406
8.418203115463257,97.57837,91.69133
8.433038949966431,97.57837,91.69133
8.450978994369507,97.11978,91.31315
8.467394113540649,96.38013,90.19553
8.483006000518799,95.70145,89.76562
8.500648975372314,95.13803,88.92136
8.517144918441772,94.67661,88.38007
8.533723115921021,93.92017,87.0563
8.549446821212769,92.97388,85.88964
8.567149877548218,91.90735,85.60967
8.584084033966064,91.07275,85.15858
8.600445032119751,90.47186,84.45134
8.617089033126831,89.63153,83.9352
8.633660078048706,88.88577,83.65555
8.649243116378784,88.50821,83.42385
8.666883945465088,88.58124,83.31664
8.682554960250854,-88.67661,83.49599
8.700160980224609,-87.68276,82.78265
8.716898918151855,-87.33086,82.20135
8.732468843460083,-87.20997,82.57166
8.750096082687378,-87.0656,82.27735
8.766751050949097,-87.30885,81.58616
8.782630920410156,-86.84444,81.50857
8.799973011016846,-87.11739,81.81857
8.816673994064331,-87.03596,81.79081
8.832253932952881,-87.3732,82.08165
8.850011110305786,-87.42025,82.22417
8.866549015045166,-87.89934,82.36111
8.883270025253296,88.66028,82.92397
8.899009943008423,90.0853,83.70552
8.916486978530884,91.39474,84.80614
8.933154821395874,92.41895,85.34592
8.949795961380005,93.27481,86.85729
8.966742992401123,93.97839,87.99138
8.982980012893677,94.43152,88.89542
8.999804019927979,95.38684,89.87273
9.016374826431274,96.48856,91.42186
9.032974004745483,97.17404,92.52032
9.050208806991577,97.52322,93.47032
9.065286874771118,98.74838,94.44643
9.082905054092407,99.77576,95.59402
9.099535942077637,100.9391,97.61295
9.116187810897827,101.9507,98.80614
9.131856918334961,103.6034,100.7877
9.149689912796021,104.3171,102.6245
9.166084051132202,105.4215,103.8389
9.182667016983032,105.6094,105.1553
9.199374914169312,106.577,106.5449
9.215965032577515,108.1767,108.0187
9.232570886611938,108.4609,108.9977
9.249252080917358,109.0519,110.6208
9.265839815139771,110.255,112.3191
9.282513856887817,110.9537,115.0247
9.299288034439087,111.6966,116.8309
9.315850973129272,113.4842,118.8067
9.331454038619995,115.2396,119.8262
9.349066972732544,116.5302,120.8668
9.365691900253296,117.329,123.0064
9.38231897354126,118.0344,124.5176
9.399004936218262,119.4784,126.8887
9.415573835372925,120.7006,128.9645
9.431195974349976,122.4399,130.3342
9.448832035064697,124.3146,131.9789
9.465476989746094,124.777,133.6232
9.482238054275513,125.2041,135.5607
9.498833894729614,126.3969,137.1677
9.515423059463501,126.8562,138.0095
9.532149076461792,127.1187,138.9405
9.548752069473267,127.898,139.7721
9.565393924713135,128.7728,141.3467
9.581968069076538,129.6924,141.7102
9.599272012710571,130.5025,142.1328
9.614212989807129,132.2587,143.0218
9.631899118423462,132.7779,144.2789
9.648866891860962,134.1576,145.0656
9.665225028991699,134.9625,145.8055
9.681800127029419,134.9232,146.5448
9.698499917984009,134.9764,146.6192
9.715092897415161,135.4209,146.0364
9.731740951538086,136.1162,146.0784
9.748337984085083,136.155,146.0808
9.764971017837524,135.915,146.1742
9.781863927841187,135.9209,146.5293
9.797372102737427,136.0532,146.9625
9.814994096755981,136.1419,147.1941
9.830578088760376,136.1862,147.3235
9.848351955413818,135.9946,147.4045
9.864906072616577,136.007,147.5635
9.881653070449829,136.1206,147.7487
9.898196935653687,135.8832,147.6994
9.914880990982056,135.8096,147.688
9.930397987365723,136.3131,148.5361
9.947075128555298,135.5912,148.5642
9.964892148971558,135.418,148.6441
9.981263875961304,135.7442,147.7796
9.997895002365112,134.8433,146.9442
10.01481080055237,135.0009,146.1405
10.0303328037262,134.8609,145.9416
10.04832005500793,135.2087,145.3375
10.06483292579651,134.226,144.7943
10.0812349319458,133.5753,143.7473
10.09807300567627,131.7299,142.1826
10.11464095115662,131.0423,141.3667
10.13114190101624,129.8824,140.1153
10.14769911766052,129.1604,138.7086
10.16333103179932,128.1967,137.2454
10.18146586418152,127.0231,135.6311
10.19658994674683,125.6271,133.6457
10.21447682380676,124.7151,132.2298
10.23000884056091,123.0914,129.5586
10.24756002426147,121.3767,127.2881
10.26420998573303,120.0655,125.6709
10.28099203109741,118.7866,123.9689
10.29657196998596,116.985,121.6631
10.31423592567444,114.9359,119.2964
10.33062481880188,112.303,115.4602
10.34637904167175,112.303,115.4602
10.36398482322693,109.8413,113.2799
